cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29,cell_30,cell_31,cell_32,cell_33,cell_34,cell_35,cell_36,cell_37,cell_38,cell_39,cell_40,cell_41,cell_42,cell_43,cell_44,cell_45,cell_46,cell_47,cell_48,cell_49,cell_50,cell_51,cell_52,cell_53,cell_54,cell_55,cell_56,cell_57,cell_58,cell_59,cell_60,cell_61,cell_62,cell_63,current_player,turns_played,winner
4,0,0,5,6,0,0,4,1,1,1,3,3,1,1,1,0,0,2,1,0,2,0,0,0,0,-1,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,-4,-2,-3,0,-6,-3,-2,-4,1,14,1
4,2,3,5,6,3,2,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-2,0,0,-1,-1,0,0,0,-1,1,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,-4,0,-3,-5,-6,-3,-2,-4,0,11,0
0,0,6,0,4,0,0,0,0,1,-3,0,0,0,0,0,1,-1,0,0,0,0,0,0,-1,0,1,0,0,0,1,0,0,0,-1,0,-3,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-4,0,-6,0,67,0
4,0,3,5,0,4,6,0,0,1,0,0,3,1,1,1,1,0,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-2,-1,0,0,0,0,0,-1,-1,0,-3,-1,-1,-1,-4,-2,-3,-5,0,-4,-6,0,0,19,1
4,0,3,5,0,4,6,0,1,1,0,0,3,1,1,1,0,0,2,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-2,-1,-1,-2,0,-1,-1,-1,0,0,0,-1,-1,0,-4,0,-3,-5,-6,-3,0,-4,0,13,1
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,-1,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-3,0,0,0,0,0,0,0,0,1,106,0
4,0,0,0,0,4,6,0,1,1,1,5,2,0,1,1,0,0,0,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-3,-1,-1,-2,0,0,0,-1,-5,0,-3,-1,-1,-1,-4,0,0,0,0,-4,-6,0,1,24,0
0,0,6,4,0,0,0,4,1,1,1,5,0,0,0,0,0,0,2,0,3,1,0,0,0,0,-5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-2,-1,0,-1,-1,0,-3,-1,-1,-3,-1,-4,0,0,0,0,-4,-6,0,1,30,1
4,0,3,5,0,4,6,0,1,1,1,0,0,1,1,1,0,0,2,3,0,2,0,0,0,-3,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-2,0,-1,-1,-1,-4,-2,-3,-5,0,-4,-6,0,0,13,1
4,2,3,5,6,3,0,4,1,1,1,1,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,-4,-2,-3,-5,-6,-3,-2,-4,0,3,0
0,0,0,0,4,0,6,0,1,1,0,2,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,-1,0,0,0,0,0,-1,0,0,-1,1,0,-1,-2,-6,1,0,0,-1,-1,-3,-1,0,0,0,4,0,-4,0,0,0,0,0,0,-4,1,46,1
4,0,3,5,6,0,0,4,1,1,1,1,0,1,1,1,0,0,2,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-2,0,0,-2,0,0,-1,-1,-1,-1,0,-1,-1,-1,-4,0,-3,-5,-6,-3,0,-4,0,7,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1
0,0,6,3,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-4,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,-6,-1,0,0,0,0,0,0,0,0,0,4,0,53,1
4,2,3,5,6,3,2,4,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,-1,-1,-1,-4,-2,-3,-5,-6,-3,-2,-4,1,6,0
4,0,0,5,6,3,0,4,1,1,0,0,1,1,1,1,0,0,2,0,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,-1,0,0,0,0,0,0,-2,0,-1,-2,0,0,-1,-1,0,0,0,-1,-1,-1,-4,0,-3,-5,-6,-3,0,-4,1,12,0
4,2,3,5,6,3,2,4,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-4,-2,-3,-5,-6,-3,-2,-4,1,2,0
0,5,4,0,0,4,6,0,1,1,0,0,0,1,1,1,0,0,0,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,-1,2,0,0,0,0,0,-1,0,-5,0,-3,0,-1,-1,0,0,-2,0,-1,-1,0,-4,0,-3,0,0,-4,-6,0,1,28,0
4,0,3,5,0,4,6,0,1,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-2,-1,-1,0,0,0,0,-1,0,-5,0,-1,-1,-1,-4,0,0,0,-6,-3,-2,-4,0,17,1
4,0,3,5,6,0,0,4,1,1,1,0,0,0,1,1,0,0,2,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,-1,-2,1,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,-1,-1,-3,-1,-4,-2,-3,-5,0,-4,-6,0,1,16,0
4,0,0,5,0,4,6,0,1,1,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,-1,0,0,0,2,0,0,0,-1,-3,0,-2,0,0,-1,0,-5,-3,0,-1,-1,-1,-4,0,0,0,0,-4,-6,0,1,28,1
0,0,0,0,0,0,0,0,-4,0,0,0,0,1,0,0,0,4,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-6,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,1
4,2,3,0,6,3,2,4,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,-2,-1,-1,-1,-1,-1,0,-1,-1,-4,-2,-3,-5,-6,-3,0,-4,0,5,1
0,6,0,3,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,-1,0,-2,0,0,0,-1,0,0,0,-2,0,0,-1,0,-1,0,0,0,-1,-1,0,-4,0,0,0,0,-4,-6,0,1,48,0
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,-4,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,-1,6,-1,0,0,0,0,-6,-2,0,0,0,0,0,0,0,0,0,0,0,0,87,0
0,0,0,5,6,0,0,4,0,0,1,0,3,0,0,0,0,0,0,0,-5,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-1,0,0,0,0,-1,0,4,0,0,-1,-1,-1,-4,0,0,0,-6,-3,0,-4,1,34,1
4,2,0,5,6,3,0,4,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,-1,0,0,-2,0,0,-1,0,-1,-1,-3,-1,-1,-1,-4,0,-3,-5,-6,0,0,-4,0,13,1
4,2,0,0,6,3,0,4,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,-2,0,0,0,-1,0,0,0,0,0,-1,0,-1,-1,-5,-1,-1,-1,-4,0,-3,0,-6,0,0,-4,0,19,0
4,2,3,0,6,0,2,4,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-1,-2,0,0,5,0,-1,-1,-3,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-4,0,-3,-5,-6,0,-2,-4,1,18,0
4,2,0,0,6,0,0,4,1,1,1,0,0,1,1,1,0,0,0,0,0,5,0,0,0,0,3,2,-2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-1,0,0,0,0,-1,-1,-5,0,-1,-1,-1,-1,-4,-2,-3,0,-6,-3,0,-4,0,13,0
4,2,0,5,6,3,0,4,1,-3,1,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-4,-2,-3,-5,-6,0,0,-4,1,14,0
4,0,3,0,6,0,4,0,1,0,0,2,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,-3,2,1,0,0,0,0,-5,0,0,-1,0,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,-4,0,-3,0,-6,0,-2,-4,1,34,1
0,0,-4,0,6,0,0,4,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,3,0,0,2,0,0,0,0,-1,0,0,-3,3,-1,0,0,0,-3,-1,0,-1,0,0,0,-5,-6,0,0,-4,1,38,0
4,0,0,0,0,5,6,0,1,1,1,3,0,0,0,1,0,0,2,1,0,-2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,-1,0,0,-1,-1,-4,0,-3,0,0,-5,0,-6,1,32,1
4,0,0,0,6,0,0,4,1,1,1,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,-3,-1,-1,0,-2,0,-1,0,-1,-4,0,0,0,-6,0,0,-4,0,41,0
4,0,3,0,0,4,0,0,1,1,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-4,0,0,0,2,0,0,-1,0,0,0,0,0,0,0,0,-2,0,0,-1,-1,-1,0,0,-1,-1,-1,0,0,-6,0,0,-3,0,-4,1,28,1
0,0,0,4,6,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-5,0,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,-1,-1,-1,-4,0,-3,0,0,-4,-6,0,0,57,0
4,5,0,0,0,4,6,0,1,0,0,2,0,1,1,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-5,0,0,-3,0,0,0,0,0,-2,0,0,-1,-1,0,0,0,-1,-1,-1,0,0,-4,0,0,-4,-6,0,1,32,0
4,0,3,5,0,4,6,0,0,1,3,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,1,0,1,-2,0,0,0,0,-1,1,-1,0,0,2,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-3,-1,0,-1,-4,0,-3,-5,0,-4,-6,0,0,27,0
4,2,3,5,0,4,6,0,1,1,0,0,0,0,1,1,0,3,1,0,0,1,0,0,0,0,0,1,-1,0,-2,0,0,0,0,0,0,0,2,0,0,0,0,-2,0,0,0,0,-1,-1,-1,0,-3,-1,-1,-1,-4,0,-3,-5,-6,0,0,-4,0,21,0
4,0,3,5,0,4,6,0,1,1,0,0,0,1,3,1,0,2,0,1,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,-1,0,0,0,0,-3,-2,-1,-3,-2,0,-1,-1,-1,-1,0,0,-1,-1,0,-4,0,0,-5,0,-4,-6,0,0,19,0
0,0,0,4,6,0,0,4,1,0,0,0,3,1,1,0,0,1,0,0,1,2,0,1,5,0,0,0,0,3,-3,0,0,0,0,0,0,0,0,0,0,-5,-2,0,0,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,0,-4,0,-4,0,-6,0,0,33,1
4,0,3,5,0,4,6,0,1,1,1,1,0,1,1,1,0,0,2,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-2,0,0,-2,0,-1,-1,-1,-1,-1,0,-1,-1,0,-4,0,-3,-5,-6,-3,0,-4,0,9,1
4,0,0,0,0,4,6,0,0,0,5,0,0,1,1,0,1,0,-2,0,0,0,0,1,0,0,0,1,-1,3,0,0,-5,0,0,0,0,0,2,0,0,0,-1,0,0,0,-1,0,-1,-1,0,0,0,-1,0,-1,-4,0,-3,0,0,-4,-6,0,1,32,1
0,4,3,5,0,4,6,0,1,0,1,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,-4,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,-1,0,-5,0,-1,-1,-1,-1,0,0,-1,-1,0,-4,0,-3,0,0,0,-6,0,1,30,0
4,0,3,5,6,3,0,4,0,0,0,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-2,0,0,0,0,0,-1,-1,-1,0,-3,-1,-1,-1,-4,0,-3,-5,-6,0,0,-4,0,17,0
0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,1,1,0,5,0,0,0,3,0,0,0,0,0,0,0,-1,0,0,-3,0,0,0,0,0,0,-1,0,0,0,0,-1,-4,0,0,-6,0,-4,0,0,0,0,1,66,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,-4,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,1,0,0,-1,0,0,-1,0,-2,0,0,0,-1,0,0,0,0,0,0,-6,0,1,68,0
4,2,3,5,6,3,2,4,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-4,-2,-3,-5,-6,-3,0,-4,1,4,1
4,2,0,0,0,4,6,0,1,3,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,5,0,0,0,0,0,-2,0,0,-5,0,0,0,-1,0,-4,-3,-1,-1,-1,0,0,0,0,-6,0,-2,-4,1,28,1
0,0,4,0,6,3,0,4,0,0,0,5,0,1,1,1,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-5,0,-3,0,0,-1,0,-2,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,0,0,-4,0,-4,0,-6,0,1,30,0
4,0,0,0,6,0,0,4,0,1,0,0,0,1,1,1,1,0,5,0,1,0,0,0,0,0,0,1,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-1,0,0,0,-1,0,1,-5,0,-1,-1,-1,-4,0,0,0,0,-4,-6,0,0,31,1
4,2,3,5,6,3,2,4,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-3,-1,-4,-2,-3,-5,-6,0,-2,-4,0,5,1
4,2,0,0,0,4,6,0,1,3,1,5,2,0,3,1,0,1,0,0,1,0,1,0,0,0,0,1,-1,1,-2,0,0,0,-1,-1,0,-1,0,0,0,0,-2,-3,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-4,0,-3,-5,0,-4,-6,0,0,21,0
0,0,0,0,-4,0,6,0,0,3,0,0,0,1,1,0,1,-3,0,0,0,0,4,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-5,0,0,0,0,0,-2,-6,0,0,0,0,0,0,0,0,1,72,0
4,0,0,5,4,0,6,0,1,1,1,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,3,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-2,0,0,-1,-1,-1,0,0,-1,-1,0,-4,0,0,-5,-6,0,0,-4,1,24,0
4,0,3,5,6,3,2,4,1,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-2,0,-1,-1,-1,0,-1,0,-1,-1,0,-4,-2,-3,-5,-6,-3,0,-4,1,8,1
0,0,0,0,0,4,0,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-5,0,-1,0,0,0,0,0,0,-1,0,-1,3,0,0,-4,0,0,0,0,0,0,0,0,-1,-6,0,5,0,0,0,0,0,0,1,78,0
4,0,3,0,6,0,0,4,1,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2,0,0,0,5,-1,-1,-1,-1,-1,0,3,0,0,-4,0,-3,-5,0,0,0,-6,0,27,1
4,2,3,0,6,3,0,4,0,1,0,0,0,1,1,1,1,0,0,0,1,2,0,0,0,-2,1,0,5,0,-2,0,0,0,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-4,0,-3,-5,0,-4,-6,0,0,15,0
-4,0,0,5,6,3,2,4,0,3,0,0,0,1,1,1,0,0,2,0,1,0,0,0,0,1,1,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-2,0,0,0,-1,0,0,0,-1,-1,-1,0,-2,-3,-5,-6,-3,0,-4,1,16,1
4,0,0,0,0,4,6,0,0,0,3,0,0,1,1,0,1,0,0,0,0,2,0,0,0,1,0,5,-2,-1,0,0,0,0,1,1,0,-1,0,-5,0,0,0,-1,1,0,-3,0,-1,-1,-1,0,0,0,-1,-1,0,0,-4,0,-4,0,-6,0,1,48,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,6,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-6,0,0,0,0,0,1,74,0
4,0,0,0,4,0,6,0,1,1,5,0,0,0,1,0,0,0,1,0,0,1,-2,1,0,0,-1,1,0,0,0,0,0,0,-1,-1,2,-1,0,0,-1,0,0,-5,0,0,0,0,0,0,0,0,0,0,-1,-1,-4,0,0,0,-4,0,-6,0,1,38,0
4,2,3,5,6,3,0,4,1,1,1,1,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-4,-2,-3,-5,-6,-3,-2,-4,0,3,0
0,0,0,4,0,0,6,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,-1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-1,-1,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,67,1
4,2,3,5,6,0,0,4,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-3,0,-2,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-6,-1,-1,-4,0,-3,-5,0,0,-2,-4,1,10,1
4,2,3,5,6,0,2,4,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,-3,0,-1,0,0,0,0,0,-2,0,0,-2,0,0,-1,-1,-1,-1,0,-1,-1,-1,-4,0,-3,-5,-6,0,0,-4,1,8,0
4,0,0,0,0,4,6,0,1,1,0,0,0,1,1,1,0,0,2,1,0,0,5,0,0,0,0,0,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-4,0,-3,-5,-4,0,-6,0,1,24,1
4,0,0,0,6,0,0,4,0,0,0,0,0,1,1,1,0,0,1,0,0,2,0,0,0,0,-1,1,0,-1,0,3,0,-1,0,0,0,-4,5,0,0,0,0,0,-1,0,-2,0,-1,0,0,-5,0,0,-1,-1,-4,0,0,0,0,0,-6,0,1,40,1
0,4,0,0,0,4,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,-1,0,-1,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,0,-2,0,0,0,0,0,-6,-4,0,-4,0,0,1,48,1
5,0,0,0,0,0,6,0,1,0,3,0,4,0,1,0,0,1,3,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,-1,0,-1,0,-2,-1,-2,-1,-3,0,-5,-1,-1,0,-1,-4,0,0,0,0,-4,-6,0,0,39,0
4,0,3,5,0,4,6,0,1,1,1,0,2,0,3,0,0,0,2,1,0,0,0,1,0,0,0,0,1,1,1,0,0,-1,-1,0,0,0,0,0,-1,0,-2,-1,-1,-2,0,0,0,-3,0,0,-3,-1,-1,-1,-4,0,0,-5,-6,0,0,-4,0,19,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,1,0,0,0,1,0,1,0,0,0,0,1,-1,1,-1,0,-1,0,0,-1,0,0,0,-6,0,0,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,1
4,2,3,5,6,3,2,4,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-4,-2,-3,-5,-6,-3,-2,-4,0,1,1
4,0,0,0,6,3,0,4,1,1,0,0,0,1,1,1,0,0,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,-3,0,-1,-1,0,0,0,-1,0,-1,-4,-2,0,0,-6,-3,0,-4,0,19,0
4,0,3,5,6,3,0,4,1,1,0,0,0,1,1,1,0,0,2,0,1,2,0,0,0,-3,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-2,0,0,-1,-1,-1,0,0,-1,-1,-1,-4,-2,-3,-5,0,-4,-6,0,1,10,1
0,0,0,0,0,0,0,0,0,0,0,0,0,-4,1,0,0,0,6,0,1,0,0,1,0,1,0,1,-1,-3,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,0,-6,-1,0,4,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,54,0
4,2,3,5,6,0,0,4,1,1,1,0,0,1,1,1,0,0,0,1,0,2,0,0,0,0,3,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,-2,0,0,-1,-1,0,0,-1,-1,-1,-1,-4,-2,-3,-5,-6,-3,0,-4,0,7,0
0,0,6,4,0,0,0,4,1,3,1,1,0,1,1,0,0,1,2,0,5,-3,0,1,0,0,3,-2,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,-2,-1,0,-1,-1,0,0,-1,-1,-3,-1,-4,0,0,-5,0,-4,-6,0,1,20,0
-5,2,0,0,0,4,6,0,1,0,1,0,5,1,1,1,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-4,0,-3,0,-6,0,-2,-4,0,19,1
4,0,0,0,0,4,6,0,1,1,1,5,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,3,3,0,-1,0,0,-5,0,-2,0,0,-3,-1,0,-2,0,-1,-1,-1,0,0,0,-4,0,-4,-6,0,1,28,0
4,0,0,0,0,4,6,0,0,3,5,0,0,1,1,1,1,0,2,3,1,2,0,0,0,1,0,1,0,0,0,0,0,-1,1,-1,0,-1,0,0,-1,0,-2,0,-1,0,0,0,0,-3,-1,0,-3,0,-1,-1,-4,0,0,-5,-2,-4,-6,0,1,24,1
4,0,0,5,4,0,6,0,0,0,0,3,0,1,1,1,1,0,2,0,0,2,0,0,0,1,0,-2,3,0,-3,0,0,-1,0,-1,1,0,0,0,-1,-3,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-4,0,0,-5,-6,0,0,-4,1,32,1
4,2,3,5,6,3,2,4,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-4,-2,-3,-5,-6,-3,-2,-4,0,1,1
4,2,3,0,6,3,2,4,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-2,0,0,-1,-1,-1,-3,0,-1,-1,-1,-4,-2,0,-5,-6,-3,0,-4,1,8,0
4,0,0,5,4,0,6,0,1,0,0,3,0,1,1,1,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-2,-1,0,1,0,1,0,0,-1,-3,0,-1,0,-6,0,-1,-4,-5,0,0,0,-4,0,0,1,36,1
0,6,0,0,4,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,-1,0,1,1,1,0,0,-1,0,0,-3,0,0,0,-1,0,0,0,-5,0,0,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,-4,-6,0,0,45,0
4,0,0,5,6,0,2,4,1,1,1,0,0,1,1,1,0,0,2,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,-1,0,0,0,3,0,0,0,-2,-1,0,-2,0,0,-1,-1,0,0,-1,-1,-1,-1,-4,0,-3,-5,-6,-3,0,-4,0,9,0
4,2,3,5,6,0,0,4,1,1,1,1,0,1,1,1,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-2,0,0,-2,0,0,-1,-1,-1,-1,0,-1,-1,-1,-4,0,-3,-5,-6,-3,0,-4,1,6,0
4,0,0,0,6,3,2,4,1,1,0,5,0,1,1,1,0,0,0,0,1,0,0,0,2,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-2,0,0,-1,-1,0,0,0,-1,-1,-1,-4,-2,-3,-5,-6,0,0,-4,1,14,0
4,0,0,5,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-4,-1,3,0,-1,0,0,0,-1,0,0,0,-5,0,0,0,0,-6,1,62,1
4,0,3,5,4,0,6,0,1,1,1,0,0,1,1,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,-3,0,0,-2,0,0,0,-1,0,0,-3,-1,-1,-1,-4,0,0,-5,-6,0,0,-4,1,20,0
